prompt,completion
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}","@media (max-width: 375px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 376px) and (max-width: 480px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 481px) and (max-width: 620px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 621px) and (max-width: 768px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 769px) and (max-width: 990px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.client-name {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 28.8px;    color: #273266;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}","@media (max-width: 375px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 376px) and (max-width: 480px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 481px) and (max-width: 620px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 621px) and (max-width: 768px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 769px) and (max-width: 990px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.client-designation {    font-family: 'Inter', sans-serif;    font-size: 18px;    line-height: 25.2px;    color: #273266;    font-weight: 400;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}","@media (max-width: 375px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 376px) and (max-width: 480px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 481px) and (max-width: 620px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 621px) and (max-width: 768px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 769px) and (max-width: 990px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.testimonial-link {    font-family: 'Eina 01';    font-size: 16px;    font-weight: bold;    line-height: 32px;    color: #3E50A1;    text-decoration: none;    margin-top: 50px;    display: inline-block;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.testimonial-card-img {    max-width: 350px;}","@media (max-width: 375px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.testimonial-card-img {    max-width: 350px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.testimonial-card-img {    max-width: 350px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}","@media (max-width: 375px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.testimonial-card-img img {    width: 100%;    border-radius: 10px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}","@media (max-width: 375px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat .form-container {    box-shadow: 0 100px 80px rgba(29, 35, 115, .07), 0 41px 33px rgba(29, 35, 115, .05), 0 22px 17px rgba(29, 35, 115, .042), 0 12px 10px rgba(29, 35, 115, .035), 0 6px 5px rgba(29, 35, 115, .028), 0 2px 2px rgba(29, 35, 115, .02);}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}","@media (max-width: 375px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.form-container {    padding: 20px;    background-color: #ffffff;    border-radius: 20px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}","@media (max-width: 375px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat form {    border: 1px solid;    --tw-bg-opacity: 1;    background-color: rgba(250, 251, 252, var(--tw-bg-opacity));    --tw-border-opacity: 1;    border-color: rgba(225, 233, 240, var(--tw-border-opacity));    border-radius: 10px;    padding: 30px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat .form-head {    text-align: center;}","@media (max-width: 375px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat .form-head {    text-align: center;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat .form-head {    text-align: center;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}","@media (max-width: 375px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat .form-head .form-logo {    margin-bottom: 1.5rem;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}","@media (max-width: 375px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat .form-head .form-title {    font-family: 'Eina 01';    font-size: 24px;    font-weight: bold;    line-height: 32px;    color: #273266;    margin-bottom: 1.5rem;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}","@media (max-width: 375px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 376px) and (max-width: 480px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 481px) and (max-width: 620px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 621px) and (max-width: 768px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 769px) and (max-width: 990px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.ready-chat form .form-label {    font-family: 'Inter', sans-serif !important;    font-size: 14px !important;    line-height: 19.6px !important;    --tw-text-opacity: 1;    color: rgba(59, 100, 160, var(--tw-text-opacity));    font-weight: 600 !important;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
form input {    padding: 10px 20px !important;}","@media (max-width: 375px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 376px) and (max-width: 480px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 481px) and (max-width: 620px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 621px) and (max-width: 768px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 769px) and (max-width: 990px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 991px) and (max-width: 1200px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
form input {    padding: 10px 20px !important;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
form input {    padding: 10px 20px !important;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
form textarea {    padding: 10px 20px !important;}","@media (max-width: 375px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 376px) and (max-width: 480px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 481px) and (max-width: 620px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 621px) and (max-width: 768px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 769px) and (max-width: 990px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 991px) and (max-width: 1200px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
form textarea {    padding: 10px 20px !important;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
form textarea {    padding: 10px 20px !important;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.form-btn-container {    text-align: center;}","@media (max-width: 375px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 376px) and (max-width: 480px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 481px) and (max-width: 620px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 621px) and (max-width: 768px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 769px) and (max-width: 990px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.form-btn-container {    text-align: center;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.form-btn-container {    text-align: center;}
}"
